asset_ref,taxonomy,lon,lat,probability(structural-no_damage),probability(structural-slight),probability(structural-moderate),probability(structural-extensive),probability(structural-complete)
CA-T6001405402-PC-C2,C2H-PC,-1.22E+02,3.78E+01,0.1282,0.0943,0.1912,0.1136,0.47
CA-T6001405402-PC-C3,C3H-PC,-1.22E+02,3.78E+01,0.077,0.1895,0.0882,0.0412,0.6
CA-T6001405402-PC-PC,PC2H-PC,-1.22E+02,3.78E+01,0.1963,0.1794,0.1445,0.1613,0.32
CA-T6001405402-PC-RM,RM2H-PC,-1.22E+02,3.78E+01,0.1908,0.1646,0.1531,0.0192,0.47
CA-T6095250701-PC-C2,C2L-PC,-1.22E+02,3.81E+01,0.1503,0.0463,0.0124,0.1814,0.61
CA-T6095250701-PC-C3,C3L-PC,-1.22E+02,3.81E+01,0.1372,0.1264,0.019,0.0551,0.66
CA-T6095250701-PC-MH,MH-PC,-1.22E+02,3.81E+01,0.1296,0.0136,0.0753,0.0394,0.74
CA-T6095250701-PC-PC,PC2L-PC,-1.22E+02,3.81E+01,0.0936,0.1295,0.1243,0.1642,0.49
CA-T6095250701-PC-RM,RM1L-PC,-1.22E+02,3.81E+01,0.1377,0.0466,0.156,0.0278,0.63
CA-T6095250701-PC-S1,S1L-PC,-1.22E+02,3.81E+01,0.0108,0.0539,0.0422,0.1828,0.71
CA-T6095250701-PC-S2,S2L-PC,-1.22E+02,3.81E+01,0.0448,0.1697,0.1399,0.0886,0.56
CA-T6095250701-PC-S3,S3-PC,-1.22E+02,3.81E+01,0.0006,0.0927,0.0231,0.1361,0.75
CA-T6095250701-PC-S4,S4L-PC,-1.22E+02,3.81E+01,0.1339,0.075,0.1892,0.033,0.57
CA-T6095250701-PC-S5,S5L-PC,-1.22E+02,3.81E+01,0.0602,0.0279,0.0266,0.179,0.71
CA-T6095250701-PC-UR,URML-PC,-1.22E+02,3.81E+01,0.1979,0.1291,0.0815,0.0845,0.51
CA-T6095250701-PC-W1,W1-PC,-1.22E+02,3.81E+01,0.1175,0.0749,0.113,0.0426,0.65
CA-T6095250701-PC-S1,S1M-PC,-1.22E+02,3.81E+01,0.0197,0.0315,0.1934,0.0722,0.68
CA-T6095250701-PC-S2,S2M-PC,-1.22E+02,3.81E+01,0.0644,0.1144,0.1317,0.127,0.56
CA-T6095250701-PC-S4,S4M-PC,-1.22E+02,3.81E+01,0.24,0.1583,0.119,0.1587,0.32
CA-T6095250701-PC-C1,C1M-PC,-1.22E+02,3.81E+01,0.2053,0.1812,0.0481,0.075,0.49
CA-T6095250701-PC-C2,C2M-PC,-1.22E+02,3.81E+01,0.0852,0.1076,0.0791,0.128,0.6
CA-T6095250701-PC-C3,C3M-PC,-1.22E+02,3.81E+01,0.0852,0.1436,0.1402,0.0959,0.54
CA-T6095250701-PC-PC,PC2M-PC,-1.22E+02,3.81E+01,0.0703,0.1512,0.0863,0.1343,0.56
CA-T6095250701-PC-RM,RM1M-PC,-1.22E+02,3.81E+01,0.1977,0.038,0.1808,0.0634,0.52
CA-T6095250701-PC-RM,RM2M-PC,-1.22E+02,3.81E+01,0.1216,0.03,0.1116,0.1094,0.63
CA-T6095250701-PC-UR,URMM-PC,-1.22E+02,3.81E+01,0.1239,0.1869,0.0529,0.0334,0.6
CA-T6095250701-PC-S1,S1H-PC,-1.22E+02,3.81E+01,0.0751,0.1598,0.1933,0.1777,0.39
CA-T6095250701-PC-S2,S2H-PC,-1.22E+02,3.81E+01,0.201,0.043,0.1686,0.0412,0.55
CA-T6095250701-PC-S4,S4H-PC,-1.22E+02,3.81E+01,0.0827,0.0093,0.0869,0.0973,0.72
CA-T6095250701-PC-C1,C1H-PC,-1.22E+02,3.81E+01,0.0041,0.1508,0.184,0.1128,0.55
CA-T6095250701-PC-C2,C2H-PC,-1.22E+02,3.81E+01,0.1395,0.0612,0.1777,0.1334,0.49
CA-T6095250701-PC-C3,C3H-PC,-1.22E+02,3.81E+01,0.2477,0.0243,0.052,0.183,0.49
CA-T6095250701-PC-PC,PC2H-PC,-1.22E+02,3.81E+01,0.1248,0.1409,0.1465,0.1422,0.45
CA-T6095250701-PC-RM,RM2H-PC,-1.22E+02,3.81E+01,0.047,0.0746,0.0249,0.1353,0.72
CA-T6095251902-PC-C2,C2L-PC,-1.22E+02,3.81E+01,0.0954,0.0419,0.1922,0.0478,0.62
CA-T6095251902-PC-MH,MH-PC,-1.22E+02,3.81E+01,0.222,0.0094,0.0637,0.1544,0.55
CA-T6095251902-PC-RM,RM1L-PC,-1.22E+02,3.81E+01,0.0954,0.0962,0.1741,0.0845,0.55
CA-T6095251902-PC-S3,S3-PC,-1.22E+02,3.81E+01,0.2182,0.1504,0.1715,0.1598,0.3
CA-T6095251902-PC-W1,W1-PC,-1.22E+02,3.81E+01,0.2422,0.004,0.1713,0.185,0.4
CA-T6095251902-PC-S2,S2M-PC,-1.22E+02,3.81E+01,0.1711,0.041,0.1861,0.0727,0.53
CA-T6095251902-PC-C2,C2M-PC,-1.22E+02,3.81E+01,0.1055,0.1707,0.1831,0.1685,0.37
CA-T6095251902-PC-RM,RM1M-PC,-1.22E+02,3.81E+01,0.1428,0.1268,0.0894,0.1889,0.45
CA-T6095251902-PC-S1,S1H-PC,-1.22E+02,3.81E+01,0.0337,0.1109,0.0571,0.0635,0.73
CA-T6001423800-PC-C2,C2L-PC,-1.22E+02,3.79E+01,0.1209,0.1276,0.035,0.0282,0.69
CA-T6001423800-PC-C3,C3L-PC,-1.22E+02,3.79E+01,0.1765,0.0944,0.0708,0.0449,0.61
CA-T6001423800-PC-MH,MH-PC,-1.22E+02,3.79E+01,0.1835,0.1475,0.0988,0.0707,0.5
CA-T6001423800-PC-PC,PC2L-PC,-1.22E+02,3.79E+01,0.2318,0.0563,0.0124,0.1626,0.54
CA-T6001423800-PC-RM,RM1L-PC,-1.22E+02,3.79E+01,0.0787,0.1857,0.0102,0.1001,0.63
CA-T6001423800-PC-S1,S1L-PC,-1.22E+02,3.79E+01,0.0752,0.1263,0.1209,0.163,0.51
CA-T6001423800-PC-S2,S2L-PC,-1.22E+02,3.79E+01,0.205,0.0532,0.0209,0.0615,0.66
CA-T6001423800-PC-S3,S3-PC,-1.22E+02,3.79E+01,0.0972,0.1875,0.0101,0.1854,0.52
CA-T6001423800-PC-S4,S4L-PC,-1.22E+02,3.79E+01,0.0472,0.1563,0.1712,0.183,0.44
CA-T6001423800-PC-S5,S5L-PC,-1.22E+02,3.79E+01,0.175,0.136,0.1618,0.0346,0.49
CA-T6001423800-PC-UR,URML-PC,-1.22E+02,3.79E+01,0.1794,0.0788,0.1678,0.1351,0.44
CA-T6001423800-PC-W1,W1-PC,-1.22E+02,3.79E+01,0.0313,0.1816,0.0752,0.065,0.65
CA-T6001405200-PC-C2,C2L-PC,-1.22E+02,3.78E+01,0.0295,0.1362,0.1278,0.1261,0.58
CA-T6001405200-PC-C3,C3L-PC,-1.22E+02,3.78E+01,0.1454,0.1087,0.1011,0.0906,0.55
CA-T6001405200-PC-MH,MH-PC,-1.22E+02,3.78E+01,0.0889,0.1683,0.002,0.1089,0.63
CA-T6001405200-PC-PC,PC2L-PC,-1.22E+02,3.78E+01,0.2346,0.1397,0.1238,0.1734,0.33
CA-T6001405200-PC-RM,RM1L-PC,-1.22E+02,3.78E+01,0.0063,0.0445,0.0402,0.0921,0.82
CA-T6001405200-PC-S1,S1L-PC,-1.22E+02,3.78E+01,0.0648,0.0056,0.1258,0.0585,0.75
CA-T6001405200-PC-S2,S2L-PC,-1.22E+02,3.78E+01,0.0682,0.0453,0.0788,0.034,0.77
CA-T6001405200-PC-S3,S3-PC,-1.22E+02,3.78E+01,0.0746,0.0168,0.0981,0.0391,0.77
CA-T6001405200-PC-S4,S4L-PC,-1.22E+02,3.78E+01,0.2455,0.1216,0.048,0.0087,0.58
CA-T6001405200-PC-S5,S5L-PC,-1.22E+02,3.78E+01,0.0972,0.1275,0.1265,0.1638,0.49
CA-T6001405200-PC-UR,URML-PC,-1.22E+02,3.78E+01,0.0197,0.0934,0.1747,0.0605,0.65
CA-T6001405200-PC-W1,W1-PC,-1.22E+02,3.78E+01,0.1055,0.1983,0.1752,0.009,0.51
CA-T6001405200-PC-S1,S1M-PC,-1.22E+02,3.78E+01,0.0416,0.125,0.1838,0.0049,0.64
CA-T6001405200-PC-S2,S2M-PC,-1.22E+02,3.78E+01,0.2138,0.1285,0.0699,0.0426,0.55
CA-T6001405200-PC-S4,S4M-PC,-1.22E+02,3.78E+01,0.0847,0.0479,0.0856,0.1414,0.64
CA-T6001405200-PC-C1,C1M-PC,-1.22E+02,3.78E+01,0.1631,0.0071,0.0003,0.1573,0.67
CA-T6001405200-PC-C2,C2M-PC,-1.22E+02,3.78E+01,0.1048,0.162,0.1384,0.194,0.4
CA-T6001405200-PC-C3,C3M-PC,-1.22E+02,3.78E+01,0.0623,0.0023,0.0469,0.1665,0.72
CA-T6001405200-PC-PC,PC2M-PC,-1.22E+02,3.78E+01,0.2064,0.0904,0.0144,0.1003,0.59
CA-T6001405200-PC-RM,RM1M-PC,-1.22E+02,3.78E+01,0.2034,0.162,0.1186,0.1835,0.33
CA-T6001405200-PC-RM,RM2M-PC,-1.22E+02,3.78E+01,0.158,0.1524,0.0475,0.1237,0.52
CA-T6001405200-PC-UR,URMM-PC,-1.22E+02,3.78E+01,0.1206,0.1317,0.176,0.1158,0.46
CA-T6001405200-PC-S1,S1H-PC,-1.22E+02,3.78E+01,0.2092,0.0035,0.1137,0.1137,0.56
CA-T6001405200-PC-S2,S2H-PC,-1.22E+02,3.78E+01,0.0153,0.1069,0.0716,0.1953,0.61
CA-T6001405200-PC-S4,S4H-PC,-1.22E+02,3.78E+01,0.2043,0.1953,0.185,0.0214,0.39
CA-T6001405200-PC-C1,C1H-PC,-1.22E+02,3.78E+01,0.1069,0.0728,0.0042,0.0721,0.74
CA-T6001405200-PC-C2,C2H-PC,-1.22E+02,3.78E+01,0.0594,0.1703,0.1755,0.0927,0.5
CA-T6001405200-PC-C3,C3H-PC,-1.22E+02,3.78E+01,0.194,0.0428,0.0285,0.0093,0.73
CA-T6001405200-PC-PC,PC2H-PC,-1.22E+02,3.78E+01,0.0879,0.0101,0.0238,0.1106,0.77
CA-T6001405200-PC-RM,RM2H-PC,-1.22E+02,3.78E+01,0.1545,0.0177,0.1592,0.1622,0.51
CA-T6001405500-PC-C2,C2L-PC,-1.22E+02,3.78E+01,0.1432,0.1104,0.0529,0.1292,0.56
CA-T6001405500-PC-C3,C3L-PC,-1.22E+02,3.78E+01,0.1184,0.0204,0.0354,0.1941,0.63
CA-T6001405500-PC-MH,MH-PC,-1.22E+02,3.78E+01,0.1909,0.0342,0.1077,0.0659,0.6
CA-T6001405500-PC-PC,PC2L-PC,-1.22E+02,3.78E+01,0.0174,0.0988,0.143,0.1968,0.54
CA-T6001405500-PC-RM,RM1L-PC,-1.22E+02,3.78E+01,0.0479,0.1604,0.1944,0.1996,0.4
CA-T6001405500-PC-S1,S1L-PC,-1.22E+02,3.78E+01,0.058,0.1493,0.1876,0.0711,0.53
CA-T6001405500-PC-S2,S2L-PC,-1.22E+02,3.78E+01,0.2233,0.0493,0.198,0.0577,0.47
CA-T6001405500-PC-S3,S3-PC,-1.22E+02,3.78E+01,0.1336,0.0422,0.1298,0.0107,0.68
CA-T6001405500-PC-S4,S4L-PC,-1.22E+02,3.78E+01,0.2323,0.1826,0.1287,0.042,0.41
CA-T6001405500-PC-S5,S5L-PC,-1.22E+02,3.78E+01,0.0994,0.192,0.0762,0.1069,0.53
CA-T6001405500-PC-UR,URML-PC,-1.22E+02,3.78E+01,0.1429,0.1339,0.0581,0.0617,0.6
CA-T6001405500-PC-W1,W1-PC,-1.22E+02,3.78E+01,0.2288,0.0488,0.1712,0.1595,0.39
CA-T6001405500-PC-S1,S1M-PC,-1.22E+02,3.78E+01,0.0552,0.1852,0.1803,0.0029,0.58
CA-T6001405500-PC-S2,S2M-PC,-1.22E+02,3.78E+01,0.0747,0.1441,0.1932,0.0338,0.55
CA-T6001405500-PC-S4,S4M-PC,-1.22E+02,3.78E+01,0.0295,0.1844,0.1125,0.0051,0.67
CA-T6001405500-PC-C1,C1M-PC,-1.22E+02,3.78E+01,0.1036,0.1954,0.0687,0.1905,0.44
CA-T6001405500-PC-C2,C2M-PC,-1.22E+02,3.78E+01,0.0043,0.0351,0.1833,0.1538,0.62
CA-T6001405500-PC-C3,C3M-PC,-1.22E+02,3.78E+01,0.2436,0.028,0.017,0.0513,0.66
CA-T6001405500-PC-PC,PC2M-PC,-1.22E+02,3.78E+01,0.234,0.0318,0.1849,0.1318,0.42
CA-T6001405500-PC-RM,RM1M-PC,-1.22E+02,3.78E+01,0.1989,0.1953,0.0712,0.1486,0.39
CA-T6001405500-PC-RM,RM2M-PC,-1.22E+02,3.78E+01,0.2465,0.0432,0.1411,0.1442,0.42
CA-T6001405500-PC-UR,URMM-PC,-1.22E+02,3.78E+01,0.2397,0.1336,0.0801,0.1506,0.4
CA-T6001405500-PC-S1,S1H-PC,-1.22E+02,3.78E+01,0.2128,0.1323,0.069,0.05,0.54
CA-T6001405500-PC-S2,S2H-PC,-1.22E+02,3.78E+01,0.131,0.1052,0.1451,0.1831,0.44
CA-T6001405500-PC-S4,S4H-PC,-1.22E+02,3.78E+01,0.0403,0.1705,0.1108,0.185,0.49
CA-T6001405500-PC-C1,C1H-PC,-1.22E+02,3.78E+01,0.1183,0.0519,0.1736,0.134,0.52
CA-T6001405500-PC-C2,C2H-PC,-1.22E+02,3.78E+01,0.0923,0.0749,0.0997,0.1749,0.56
CA-T6001405500-PC-C3,C3H-PC,-1.22E+02,3.78E+01,0.1237,0.0433,0.0734,0.0053,0.75
CA-T6001405500-PC-PC,PC2H-PC,-1.22E+02,3.78E+01,0.0484,0.1016,0.1557,0.1713,0.52
CA-T6001405500-PC-RM,RM2H-PC,-1.22E+02,3.78E+01,0.1047,0.0837,0.086,0.0427,0.68
CA-T6001403800-PC-C2,C2L-PC,-1.22E+02,3.78E+01,0.1352,0.0818,0.0566,0.1276,0.6
CA-T6001403800-PC-C3,C3L-PC,-1.22E+02,3.78E+01,0.1249,0.0095,0.0152,0.1652,0.69
CA-T6001403800-PC-MH,MH-PC,-1.22E+02,3.78E+01,0.008,0.1506,0.1303,0.1238,0.59
CA-T6001403800-PC-PC,PC2L-PC,-1.22E+02,3.78E+01,0.2118,0.1061,0.0587,0.1855,0.44
CA-T6001403800-PC-RM,RM1L-PC,-1.22E+02,3.78E+01,0.0501,0.0719,0.1525,0.0754,0.65
CA-T6001403800-PC-S1,S1L-PC,-1.22E+02,3.78E+01,0.0271,0.1207,0.0797,0.1421,0.63
CA-T6001403800-PC-S2,S2L-PC,-1.22E+02,3.78E+01,0.2459,0.1615,0.0023,0.0278,0.56
CA-T6001403800-PC-S3,S3-PC,-1.22E+02,3.78E+01,0.171,0.0038,0.1721,0.1968,0.46
CA-T6001403800-PC-S4,S4L-PC,-1.22E+02,3.78E+01,0.1212,0.1401,0.1438,0.1603,0.43
CA-T6001403800-PC-S5,S5L-PC,-1.22E+02,3.78E+01,0.0898,0.1157,0.1389,0.0697,0.59
CA-T6001403800-PC-UR,URML-PC,-1.22E+02,3.78E+01,0.1629,0.1339,0.0657,0.1832,0.45
CA-T6001403800-PC-W1,W1-PC,-1.22E+02,3.78E+01,0.0771,0.0682,0.1496,0.177,0.53
CA-T6001403800-PC-S1,S1M-PC,-1.22E+02,3.78E+01,0.2321,0.108,0.0489,0.1311,0.48
CA-T6001403800-PC-S2,S2M-PC,-1.22E+02,3.78E+01,0.1808,0.1298,0.0739,0.1179,0.5
CA-T6001403800-PC-S4,S4M-PC,-1.22E+02,3.78E+01,0.2456,0.114,0.0831,0.1223,0.44
CA-T6001403800-PC-C1,C1M-PC,-1.22E+02,3.78E+01,0.0757,0.1917,0.1137,0.1373,0.48
CA-T6001403800-PC-C2,C2M-PC,-1.22E+02,3.78E+01,0.1464,0.119,0.1713,0.0767,0.49
CA-T6001403800-PC-C3,C3M-PC,-1.22E+02,3.78E+01,0.201,0.175,0.0039,0.0558,0.56
CA-T6001403800-PC-PC,PC2M-PC,-1.22E+02,3.78E+01,0.2055,0.1323,0.027,0.021,0.61
CA-T6001403800-PC-RM,RM1M-PC,-1.22E+02,3.78E+01,0.0821,0.1064,0.0079,0.1244,0.68
CA-T6001403800-PC-RM,RM2M-PC,-1.22E+02,3.78E+01,0.1984,0.0785,0.135,0.1933,0.39
CA-T6001403800-PC-UR,URMM-PC,-1.22E+02,3.78E+01,0.0551,0.138,0.0307,0.1628,0.61
CA-T6001403800-PC-S1,S1H-PC,-1.22E+02,3.78E+01,0.0076,0.0169,0.1058,0.0721,0.8
CA-T6001403800-PC-S2,S2H-PC,-1.22E+02,3.78E+01,0.2445,0.0454,0.1721,0.0645,0.47
CA-T6001403800-PC-S4,S4H-PC,-1.22E+02,3.78E+01,0.1473,0.0643,0.0729,0.03,0.69
CA-T6001403800-PC-C1,C1H-PC,-1.22E+02,3.78E+01,0.2315,0.1839,0.1122,0.1067,0.37
CA-T6001403800-PC-C2,C2H-PC,-1.22E+02,3.78E+01,0.21,0.0961,0.0833,0.0585,0.55
CA-T6001403800-PC-C3,C3H-PC,-1.22E+02,3.78E+01,0.0778,0.1093,0.0086,0.164,0.64
CA-T6001403800-PC-PC,PC2H-PC,-1.22E+02,3.78E+01,0.2337,0.0672,0.0145,0.168,0.52
CA-T6001403800-PC-RM,RM2H-PC,-1.22E+02,3.78E+01,0.1722,0.1075,0.1954,0.115,0.41
CA-T6001428301-PC-C2,C2L-PC,-1.22E+02,3.77E+01,0.0921,0.1988,0.0393,0.0122,0.66
CA-T6001428301-PC-C3,C3L-PC,-1.22E+02,3.77E+01,0.1502,0.0269,0.0824,0.0653,0.68
CA-T6001428301-PC-MH,MH-PC,-1.22E+02,3.77E+01,0.1298,0.0573,0.1283,0.1368,0.55
CA-T6001428301-PC-PC,PC2L-PC,-1.22E+02,3.77E+01,0.0675,0.0902,0.0085,0.0657,0.77
CA-T6001428301-PC-RM,RM1L-PC,-1.22E+02,3.77E+01,0.2375,0.0017,0.1445,0.1359,0.48
CA-T6001428301-PC-S2,S2L-PC,-1.22E+02,3.77E+01,0.0769,0.1523,0.0667,0.1161,0.59
CA-T6001428301-PC-S3,S3-PC,-1.22E+02,3.77E+01,0.1285,0.1012,0.0143,0.1098,0.65
CA-T6001428301-PC-S4,S4L-PC,-1.22E+02,3.77E+01,0.1415,0.1325,0.0196,0.0839,0.62
CA-T6001428301-PC-S5,S5L-PC,-1.22E+02,3.77E+01,0.1334,0.067,0.0848,0.0029,0.71
CA-T6001428301-PC-UR,URML-PC,-1.22E+02,3.77E+01,0.1242,0.0922,0.199,0.1646,0.42
CA-T6001428301-PC-W1,W1-PC,-1.22E+02,3.77E+01,0.0721,0.1332,0.1044,0.0771,0.61
CA-T6081610000-PC-C2,C2L-PC,-1.22E+02,3.75E+01,0.1089,0.1375,0.0671,0.0359,0.65
CA-T6081610000-PC-C3,C3L-PC,-1.22E+02,3.75E+01,0.1795,0.055,0.085,0.1018,0.58
CA-T6081610000-PC-MH,MH-PC,-1.22E+02,3.75E+01,0.0233,0.0856,0.1473,0.0055,0.74
CA-T6081610000-PC-PC,PC2L-PC,-1.22E+02,3.75E+01,0.1492,0.1492,0.1462,0.0679,0.49
CA-T6081610000-PC-RM,RM1L-PC,-1.22E+02,3.75E+01,0.1294,0.0067,0.1366,0.074,0.65
CA-T6081610000-PC-S1,S1L-PC,-1.22E+02,3.75E+01,0.1848,0.0889,0.05,0.0464,0.63
CA-T6081610000-PC-S2,S2L-PC,-1.22E+02,3.75E+01,0.0724,0.1007,0.0916,0.1846,0.55
CA-T6081610000-PC-S3,S3-PC,-1.22E+02,3.75E+01,0.2401,0.1834,0.0988,0.1399,0.34
CA-T6081610000-PC-S4,S4L-PC,-1.22E+02,3.75E+01,0.1543,0.1969,0.1422,0.164,0.34
CA-T6081610000-PC-S5,S5L-PC,-1.22E+02,3.75E+01,0.1405,0.1112,0.1245,0.1285,0.5
CA-T6081610000-PC-UR,URML-PC,-1.22E+02,3.75E+01,0.0977,0.0143,0.0224,0.0553,0.81
CA-T6081610000-PC-W1,W1-PC,-1.22E+02,3.75E+01,0.1973,0.1792,0.1198,0.0689,0.43
CA-T6001405902-PC-C2,C2L-PC,-1.22E+02,3.78E+01,0.2413,0.0683,0.1764,0.0089,0.51
CA-T6001405902-PC-C3,C3L-PC,-1.22E+02,3.78E+01,0.0052,0.1577,0.1669,0.1524,0.52
CA-T6001405902-PC-MH,MH-PC,-1.22E+02,3.78E+01,0.1565,0.1666,0.0483,0.0966,0.53
CA-T6001405902-PC-PC,PC2L-PC,-1.22E+02,3.78E+01,0.1848,0.0626,0.0083,0.1739,0.57
CA-T6001405902-PC-RM,RM1L-PC,-1.22E+02,3.78E+01,0.1225,0.0252,0.0556,0.0335,0.76
CA-T6001405902-PC-S1,S1L-PC,-1.22E+02,3.78E+01,0.1161,0.1415,0.0122,0.1461,0.58
CA-T6001405902-PC-S2,S2L-PC,-1.22E+02,3.78E+01,0.2354,0.0678,0.0383,0.0967,0.56
CA-T6001405902-PC-S3,S3-PC,-1.22E+02,3.78E+01,0.2278,0.1801,0.0085,0.1935,0.39
CA-T6001405902-PC-S4,S4L-PC,-1.22E+02,3.78E+01,0.184,0.1858,0.0236,0.0424,0.56
CA-T6001405902-PC-S5,S5L-PC,-1.22E+02,3.78E+01,0.0445,0.0104,0.1935,0.1592,0.59
CA-T6001405902-PC-UR,URML-PC,-1.22E+02,3.78E+01,0.221,0.064,0.0588,0.0794,0.58
CA-T6001405902-PC-W1,W1-PC,-1.22E+02,3.78E+01,0.087,0.09,0.1649,0.0052,0.65
CA-T6001405902-PC-S1,S1M-PC,-1.22E+02,3.78E+01,0.01,0.1426,0.1745,0.0886,0.58
CA-T6001405902-PC-S2,S2M-PC,-1.22E+02,3.78E+01,0.0952,0.1095,0.0998,0.0898,0.61
CA-T6001405902-PC-S4,S4M-PC,-1.22E+02,3.78E+01,0.1278,0.0974,0.09,0.0118,0.67
CA-T6001405902-PC-C1,C1M-PC,-1.22E+02,3.78E+01,0.2116,0.1113,0.1048,0.0104,0.56
CA-T6001405902-PC-C2,C2M-PC,-1.22E+02,3.78E+01,0.1743,0.182,0.1608,0.1839,0.3
CA-T6001405902-PC-C3,C3M-PC,-1.22E+02,3.78E+01,0.2484,0.027,0.1998,0.062,0.46
CA-T6001405902-PC-PC,PC2M-PC,-1.22E+02,3.78E+01,0.2481,0.1465,0.0035,0.1892,0.41
CA-T6001405902-PC-RM,RM1M-PC,-1.22E+02,3.78E+01,0.1211,0.0018,0.1866,0.0865,0.6
CA-T6001405902-PC-RM,RM2M-PC,-1.22E+02,3.78E+01,0.1994,0.1604,0.029,0.1556,0.46
CA-T6001405902-PC-UR,URMM-PC,-1.22E+02,3.78E+01,0.225,0.1028,0.0573,0.0606,0.55
CA-T6001405902-PC-S1,S1H-PC,-1.22E+02,3.78E+01,0.187,0.1163,0.0951,0.0759,0.53
CA-T6001405902-PC-S2,S2H-PC,-1.22E+02,3.78E+01,0.1284,0.1419,0.0797,0.1655,0.48
CA-T6001405902-PC-S4,S4H-PC,-1.22E+02,3.78E+01,0.1319,0.0752,0.0578,0.0323,0.7
CA-T6001405902-PC-C1,C1H-PC,-1.22E+02,3.78E+01,0.0986,0.0778,0.0958,0.1543,0.57
CA-T6001405902-PC-C2,C2H-PC,-1.22E+02,3.78E+01,0.07,0.0985,0.0803,0.136,0.62
CA-T6001405902-PC-C3,C3H-PC,-1.22E+02,3.78E+01,0.1259,0.1978,0.039,0.0314,0.61
CA-T6001405902-PC-PC,PC2H-PC,-1.22E+02,3.78E+01,0.126,0.1165,0.1736,0.197,0.39
CA-T6001405902-PC-RM,RM2H-PC,-1.22E+02,3.78E+01,0.2009,0.0121,0.0423,0.0915,0.65
CA-T6001426200-PC-C2,C2L-PC,-1.22E+02,3.78E+01,0.2452,0.0288,0.1146,0.0001,0.61
CA-T6001426200-PC-C3,C3L-PC,-1.22E+02,3.78E+01,0.0675,0.1198,0.1623,0.146,0.5
CA-T6001426200-PC-MH,MH-PC,-1.22E+02,3.78E+01,0.076,0.0301,0.14,0.1551,0.6
CA-T6001426200-PC-RM,RM1L-PC,-1.22E+02,3.78E+01,0.0957,0.1089,0.1778,0.1224,0.5
CA-T6001426200-PC-S1,S1L-PC,-1.22E+02,3.78E+01,0.1698,0.1747,0.0211,0.0031,0.63
CA-T6001426200-PC-S2,S2L-PC,-1.22E+02,3.78E+01,0.24,0.0033,0.1694,0.0604,0.53
CA-T6001426200-PC-S3,S3-PC,-1.22E+02,3.78E+01,0.0473,0.0248,0.0233,0.0322,0.87
CA-T6001426200-PC-S5,S5L-PC,-1.22E+02,3.78E+01,0.0352,0.0266,0.0949,0.1341,0.71
CA-T6001426200-PC-UR,URML-PC,-1.22E+02,3.78E+01,0.0082,0.0851,0.1258,0.1757,0.61
CA-T6001426200-PC-W1,W1-PC,-1.22E+02,3.78E+01,0.2254,0.0376,0.1844,0.0097,0.54
CA-T6001428200-PC-C2,C2L-PC,-1.22E+02,3.78E+01,0.0207,0.1179,0.0926,0.0293,0.74
CA-T6001428200-PC-C3,C3L-PC,-1.22E+02,3.78E+01,0.1618,0.0251,0.1506,0.1117,0.55
CA-T6001428200-PC-MH,MH-PC,-1.22E+02,3.78E+01,0.2486,0.1609,0.09,0.1709,0.33
CA-T6001428200-PC-PC,PC2L-PC,-1.22E+02,3.78E+01,0.0587,0.0939,0.0297,0.1574,0.66
CA-T6001428200-PC-RM,RM1L-PC,-1.22E+02,3.78E+01,0.0931,0.1754,0.0807,0.0101,0.64
CA-T6001428200-PC-S1,S1L-PC,-1.22E+02,3.78E+01,0.1541,0.1496,0.0504,0.1519,0.49
CA-T6001428200-PC-S2,S2L-PC,-1.22E+02,3.78E+01,0.006,0.1671,0.013,0.0101,0.8
CA-T6001428200-PC-S3,S3-PC,-1.22E+02,3.78E+01,0.153,0.1421,0.1877,0.0276,0.49
CA-T6001428200-PC-S4,S4L-PC,-1.22E+02,3.78E+01,0.1545,0.1283,0.0127,0.0472,0.66
CA-T6001428200-PC-S5,S5L-PC,-1.22E+02,3.78E+01,0.0679,0.118,0.0459,0.1167,0.65
CA-T6001428200-PC-UR,URML-PC,-1.22E+02,3.78E+01,0.0727,0.0513,0.0625,0.0285,0.78
CA-T6001428200-PC-W1,W1-PC,-1.22E+02,3.78E+01,0.1302,0.1713,0.1395,0.0107,0.55
CA-T6001428200-PC-S1,S1M-PC,-1.22E+02,3.78E+01,0.1851,0.1084,0.0959,0.193,0.42
CA-T6001428200-PC-S2,S2M-PC,-1.22E+02,3.78E+01,0.1742,0.1211,0.1891,0.0476,0.47
CA-T6001428200-PC-S4,S4M-PC,-1.22E+02,3.78E+01,0.2004,0.1179,0.1974,0.1974,0.29
CA-T6001428200-PC-C1,C1M-PC,-1.22E+02,3.78E+01,0.0354,0.1748,0.0029,0.1689,0.62
CA-T6001428200-PC-C2,C2M-PC,-1.22E+02,3.78E+01,0.1618,0.1813,0.0851,0.1547,0.42
CA-T6001428200-PC-C3,C3M-PC,-1.22E+02,3.78E+01,0.1631,0.103,0.0694,0.146,0.52
CA-T6001428200-PC-PC,PC2M-PC,-1.22E+02,3.78E+01,0.214,0.0847,0.0743,0.0729,0.55
CA-T6001428200-PC-RM,RM1M-PC,-1.22E+02,3.78E+01,0.0436,0.1486,0.0648,0.0757,0.67
CA-T6001428200-PC-RM,RM2M-PC,-1.22E+02,3.78E+01,0.2345,0.1013,0.1121,0.0463,0.51
CA-T6001428200-PC-UR,URMM-PC,-1.22E+02,3.78E+01,0.2145,0.1133,0.0222,0.1842,0.47
